name;parent;categoria;descripcion
Tymoviridae ;Tymovirales;Familia;Virus de plantas con cápsides isométricas y genoma de ARN monocatenario positivo
Betaflexiviridae ;Tymovirales;Familia;Virus filamentosos de ARN monocatenario positivo que infectan principalmente plantas cultivadas
Virgaviridae ;Martellivirales ;Familia;Virus de plantas con forma de bastón rígido
Mayoviridae ;Martellivirales ;Familia;Virus de plantas
Closteroviridae ;Martellivirales ;Familia;Virus de plantas filamentosos muy largos transmitidos por insectos vectores
Bromoviridae ;Martellivirales ;Familia;Virus de plantas con genoma de ARN monocatenario positivo tripartito
Hepaciviridae;Amarillovirales;Familia;Familia que incluye al virus de la hepatitis C humana
Flaviviridae;Amarillovirales;Familia;Virus de ARN monocatenario positivo transmitidos por artrópodos
Picornaviridae ;Picornavirales;Familia;Virus de ARN monocatenario positivo pequeños y sin envoltura
Secoviridae ;Picornavirales;Familia;Virus de plantas con cápsides pequeñas que infectan cultivos agrícolas importantes
Solemoviridae ;Sobelivirales ;Familia;Virus de plantas con genomas de ARN monocatenario positivo pequeños
Coronaviridae ;Nidovirales ;Familia;Virus envueltos con genoma de ARN monocatenario positivo grande y proyecciones en corona
Amalgaviridae ;Durnavirales;Familia;Virus de ARN bicatenario que infectan plantas y permanecen latentes
Partitiviridae ;Durnavirales;Familia;Virus de ARN bicatenario bisegmentados que infectan hongos, plantas y protozoos
Potyviridae ;Patatavirales ;Familia;Familia más grande de virus de plantas filamentosos de ARN monocatenario positivo
Hantaviridae ;Elliovirales;Familia;Virus de ARN monocatenario negativo transmitidos por roedores que causan síndromes graves
Tospoviridae ;Elliovirales;Familia;Virus de plantas de ARN monocatenario negativo transmitidos por trips
Rhabdoviridae ;Mononegavirales;Familia;Virus con forma de bala o bacilo
Orthomyxoviridae;Articulavirales;Familia;Virus de ARN monocatenario negativo segmentados
Giardiaviridae ;Ghabrivirales;Familia;Virus de ARN bicatenario que infectan específicamente al protozoo parásito Giardia
Pseudototiviridae ;Ghabrivirales;Familia;Familia de virus de ARN bicatenario asociados a huéspedes fúngicos
Chrysoviridae ;Ghabrivirales;Familia;Virus de ARN bicatenario con genomas divididos en cuatro segmentos que infectan hongos
Orthototiviridae ;Ghabrivirales;Familia;Virus de ARN bicatenario no segmentados que infectan hongos y protozoos
Mitoviridae;Cryppavirales;Familia;Virus de ARN monocatenario positivo sin cápside que se replican en las mitocondrias fúngicas
Retroviridae ;Ortervirales;Familia;Virus de ARN que usan retrotranscripción para integrar su ADN al hospedador
Caulimoviridae ;Ortervirales;Familia;Pararetrovirus de plantas con genoma de ADN bicatenario que utilizan transcripción inversa
Geminiviridae ;Geplafuvirales ;Familia;Virus de plantas con cápsides geminadas y genoma de ADN monocatenario circular
Papillomaviridae;Zurhausenvirales  ;Familia;Virus de ADN bicatenario pequeños que causan verrugas y lesiones epiteliales
Orthoherpesviridae;Herpesvirales ;Familia;Herpesvirus mamíferos tradicionales con genoma de ADN bicatenario grande y envoltura
Zimmerviridae ;Caudoviricetes;Familia;Virus de ADN bicatenario que infectan organismos arqueanos
Straboviridae ;Pantevenvirales ;Familia;Bacteriófagos de cola
Autotranscriptaviridae ;Autographivirales ;Familia;Bacteriófagos de cola que transcriben su genoma de forma altamente autónoma
Inoviridae ;Tubulavirales ;Familia;Bacteriófagos filamentosos con genoma de ADN monocatenario circular
Potexvirus;Alphaflexiviridae ;Género;Virus filamentosos de plantas con genoma de ARN monocatenario positivo
Tymovirus;Tymoviridae ;Género;Virus de plantas con cápsides isométricas transmitidos principalmente por escarabajos
Carlavirus ;Betaflexiviridae ;Género;Virus filamentosos de plantas de ARN monocatenario positivo transmitidos comúnmente por áfidos
Trichovirus;Betaflexiviridae ;Género;Virus de plantas con viriones filamentosos muy flexuosos
Tobamovirus;Virgaviridae ;Género;Virus de bastón rígido muy estables que infectan plantas
Idaeovirus;Mayoviridae ;Género;Virus de plantas que infecta principalmente cultivos de frambuesas y bayas
Crinivirus ;Closteroviridae ;Género;Virus de plantas con genoma bipartito transmitidos exclusivamente por moscas blancas
Ilarvirus;Bromoviridae ;Género;Virus isométricos de plantas con genoma tripartito transmitidos por polen o trips
Cucumovirus ;Bromoviridae ;Género;Virus esféricos de plantas con genoma tripartito
Orthohepacivirus;Hepaciviridae;Género;Virus de la hepatitis C humana y especies afines
Orthoflavivirus;Flaviviridae;Género;Virus de ARN monocatenario positivo transmitidos por mosquitos (dengue, zika, fiebre amarilla)
Hepatovirus;Picornaviridae ;Género;Virus de la hepatitis A
Comovirus;Secoviridae ;Género;Virus de plantas con genoma de ARN bipartito encapsidado en partículas isométricas
Nepovirus;Secoviridae ;Género;Virus de plantas esféricos con genoma bipartito transmitidos principalmente por nematodos
Sobemovirus;Solemoviridae ;Género;Virus isométricos de plantas con genoma pequeño de ARN monocatenario positivo
Polerovirus;Solemoviridae ;Género;Virus de plantas limitados al floema transmitidos de forma persistente por áfidos
Betacoronavirus ;Coronaviridae ;Género;Género de coronavirus que incluye al SARS-CoV, MERS-CoV y SARS-CoV-2
Amalgavirus;Amalgaviridae ;Género;Virus de ARN bicatenario que infectan plantas de forma persistente sin causar síntomas claros
Alphapartitivirus;Partitiviridae ;Género;Virus de ARN bicatenario que infectan hongos filamentosos y plantas
Potyvirus ;Potyviridae ;Género;Virus de plantas filamentosos muy importante transmitido por áfidos no persistentes
Orthohantavirus;Hantaviridae ;Género;Virus transmitidos por roedores que causan síndromes pulmonares y fiebres hemorrágicas
Orthotospovirus ;Tospoviridae ;Género;Único género de Tospoviridae que infecta plantas, transmitido de manera persistente por trips
Lyssavirus;Rhabdoviridae ;Género;Virus con forma de bala que causan la rabia en humanos y mamíferos
Alphainfluenzavirus;Orthomyxoviridae;Género;Virus de la influenza A
Betainfluenzavirus;Orthomyxoviridae;Género;Virus de la influenza B
Deltainfluenzavirus;Orthomyxoviridae;Género;Virus de la influenza D
Gammainfluenzavirus;Orthomyxoviridae;Género;Virus de la influenza C
Giardiavirus;Giardiaviridae ;Género;Virus de ARN bicatenario que infectan y se replican dentro del protozoo Giardia lamblia
Leishmaniavirus;Pseudototiviridae ;Género;Virus de ARN bicatenario que infectan a protozoos parásitos del género Leishmania
Victorivirus;Pseudototiviridae ;Género;Virus de ARN bicatenario no segmentados que infectan exclusivamente a hongos filamentosos
Alphachrysovirus;Chrysoviridae ;Género;Virus de ARN bicatenario con genoma de cuatro segmentos que infectan hongos
Totivirus ;Orthototiviridae ;Género;Virus de ARN bicatenario que infectan de forma latente a hongos y protozoos
Duamitovirus;Mitoviridae;Género;Virus sin cápside de ARN monocatenario positivo que infectan mitocondrias fúngicas
Lentivirus ;Retroviridae ;Género;Retrovirus de replicación lenta que causan inmunodeficiencias crónicas
Caulimovirus;Caulimoviridae ;Género;Pararetrovirus de plantas con ADN bicatenario que causan síntomas de mosaico
Begomovirus;Geminiviridae ;Género;Virus de plantas de ADN monocatenario transmitidos por mosca blanca
Mastrevirus;Geminiviridae ;Género;Virus de plantas de ADN monocatenario circular transmitidos por cigarras
Varicellovirus;Orthoherpesviridae;Género;Género de herpesvirus que incluye al virus de la varicela-zóster
Lambdavirus;Zimmerviridae ;Género;Género que incluye al bacteriófago lambda, un virus templado clásico de Escherichia coli
Tequatrovirus;Straboviridae ;Género;Género de bacteriófagos de cola que incluye al virus T4 de Escherichia coli
Teseptimavirus;Autotranscriptaviridae ;Género;Género de bacteriófagos de cola que incluye al virus T7 de Escherichia coli
Inovirus;Inoviridae ;Género;Bacteriófagos filamentosos con ADN monocatenario circular que se liberan sin lisar la bacteria
Organismos Vivos;;;Organismos celulares eucariotas y procariotas
Bacteria;Organismos Vivos;Dominio;Organismos procariotas unicelulares con paredes celulares de peptidoglicano y lípidos de membrana tipo éster
Archaea;Organismos Vivos;Dominio;Procariotas unicelulares con lípidos de membrana tipo éter, comunes en ambientes extremos o primitivos
Eukarya;Organismos Vivos;Dominio;Organismos unicelulares o pluricelulares caracterizados por células con núcleo definido y orgánulos membranosos
Bacillati;Bacteria;Reino;Bacterias Gram positivas de baja proporción G+C, formadoras de endosporas o fermentadoras
Pseudomonadati;Bacteria;Reino;Bacterias Gram negativas metabólicamente diversas
Thermotogati;Bacteria;Reino;Bacterias hipertermófilas envueltas en una estructura externa similar a una vaina llamada toga
Methanobacteriati;Archaea;Reino;Arqueas procariotas metanógenas que producen metano mediante la reducción de dióxido de carbono
Nanobdellati;Archaea;Reino;Arqueas ultrapequeñas que viven como simbiontes o parásitos obligados
Promethearchaeati;Archaea;Reino;Arqueas filogenéticamente cercanas al origen de las células eucariotas
Thermoproteati;Archaea;Reino;Arqueas hipertermófilas o acidófilas dependientes de azufre
Bacillota;Bacillati;Filo/División;Bacterias Gram positivas con bajo contenido G+C. Anteriormente llamadas Firmicutes
Actinomycetota;Bacillati;Filo/División;Bacterias Gram positivas con alto contenido G+C, muchas con crecimiento filamentoso o miceliar
Cyanobacteriota;Bacillati;Filo/División;Bacterias fotosintéticas oxigénicas que desempeñaron un papel clave en la oxigenación terrestre
Pseudomonadota;Pseudomonadati;Filo/División;Bacterias Gram negativas metabólicamente diversas
Chlamydiota;Pseudomonadati;Filo/División;Bacterias Gram negativas parásitas intracelulares obligadas con un ciclo replicativo bifásico
Deinococcota;Thermotogati;Filo/División;Bacterias extraordinariamente resistentes a la radiación ionizante, la desecación y el calor extremo
Methanobacteriota;Methanobacteriati;Filo/División;Arqueas metanógenas productoras de metano
Nanobdellota;Nanobdellati;Filo/División;Arqueas ultrapequeñas que viven acopladas a otros huéspedes procariotas
Microcaldota;Nanobdellati;Filo/División;Arqueas hipertermófilas de tamaño celular reducido adaptadas a fuentes hidrotermales
Promethearchaeota;Promethearchaeati;Filo/División;Arqueas claves para entender el origen eucariota
Thermoproteota;Thermoproteati;Filo/División;Arqueas hipertermófilas, acidófilas y quimiolitótrofas dependientes de azufre
Bacilli;Bacillota;Clase;Bacterias Gram positivas con bajo contenido G+C, aerobias o anaerobias facultativas
Clostridia;Bacillota;Clase;Bacterias Gram positivas anaerobias estrictas que forman endosporas y tienen metabolismo fermentativo
Actinomycetes;Actinomycetota;Clase;Bacterias Gram positivas filamentosas de alto G+C, clave en la producción de antibióticos
Cyanophyceae (Chroococcophyceae);Cyanobacteriota;Clase;Cianobacterias fotosintéticas oxigénicas unicelulares o coloniales complejas
Alphaproteobacteria;Pseudomonadota;Clase;Bacterias Gram negativas metabólicamente diversas; incluye fijadores de nitrógeno y ancestros mitocondriales
Betaproteobacteria;Pseudomonadota;Clase;Bacterias Gram negativas que incluye quimiolitótrofos y patógenos humanos importantes
Gammaproteobacteria;Pseudomonadota;Clase;Bacteriano Gram negativo inmenso que incluye a las enterobacterias y pseudomonas
Epsilonproteobacteria;Pseudomonadota;Clase;Bacterias Gram negativas microaerófilas con formas espirales
Chlamydiia;Chlamydiota;Clase;Bacterias Gram negativas parásitas intracelulares obligadas de células eucariotas
Deinococci;Deinococcota;Clase;Bacterias extremófilas célebres por su excepcional resistencia a la radiación ionizante
Methanobacteria;Methanobacteriota;Clase;Arqueas metanógenas anaerobias que producen metano a partir de hidrógeno
Thermococci;Methanobacteriota;Clase;Arqueas hipertermófilas anaerobias obligadas que reducen azufre elemental a sulfuro
Halobacteriales;Methanobacteriota;Clase;Arqueas halófilas extremas que prosperan en ambientes con alta salinidad
Nanobdellia;Nanobdellota;Clase;Arqueas ultrapequeñas de la línea DPANN asociadas a otros procariotas
Microcaldia;Microcaldota;Clase;Arqueas hipertermófilas de tamaño muy reducido adaptadas a fuentes termales
Promethearchaeales;Promethearchaeota;Clase;Arqueas del supergrupo Asgard fundamentales para explicar el origen eucariota
Nitrososphaeria;Thermoproteota;Clase;Arqueas oxidantes de amoníaco ampliamente distribuidas en suelos, océanos y ambientes terrestres
Thermoprotei;Thermoproteota;Clase;Arqueas hipertermófilas dependientes de azufre que habitan en fuentes termales ácidas
Lactobacillales;Bacilli;Orden;Bacterias Gram positivas productoras de ácido láctico
Caryophanales;Bacilli;Orden;Bacterias Gram positivas móviles que incluye bacilos gigantes y filamentosos
Eubacteriales;Clostridia;Orden;Tradicional y amplio orden que agrupa a bacterias verdaderas Gram positivas anaerobias
Mycobacteriales;Actinomycetes;Orden;Bacterias con paredes ricas en ácidos micólicos; incluye patógenos como la tuberculosis
Micrococcales;Actinomycetes;Orden;Bacterias Gram positivas aerobias comunes en la piel y el suelo
Kitasatosporales;Actinomycetes;Orden;Bacterias del suelo filamentosas productoras de esporas, emparentadas con los estreptomicitos
Bifidobacteriales;Actinomycetes;Orden;Bacterias anaerobias ramificadas, componentes clave de la microbiota intestinal saludable
Actinomycetales;Actinomycetes;Orden;Bacterias filamentosas complejas con alto contenido G+C en su ADN
Propionibacteriales;Actinomycetes;Orden;Bacterias que producen ácido propiónico por fermentación, usadas en quesos y lácteos
Chroococcales;Cyanophyceae (Chroococcophyceae);Orden;Cianobacterias unicelulares o coloniales rodeadas por una matriz mucilaginosa común
Oscillatoriales;Cyanophyceae (Chroococcophyceae);Orden;Cianobacterias filamentosas no ramificadas sin heterocistos
Nostocales;Cyanophyceae (Chroococcophyceae);Orden;Cianobacterias filamentosas con heterocistos y acinetos capaces de fijar nitrógeno atmosférico.
Hyphomicrobiales;Alphaproteobacteria;Orden;Bacterias Gram negativas que se reproducen típicamente por gemación o forman hifas
Rhodospirillales;Alphaproteobacteria;Orden;Bacterias púrpuras no del azufre, fundamentalmente fotosintéticas anoxigénicas o acidófilas
Neisseriales;Betaproteobacteria;Orden;Bacterias Gram negativas diplocócicas, patógenas o comensales de mucosas animales
Burkholderiales;Betaproteobacteria;Orden;Orden diverso de bacterias Gram negativas que incluye patógenos oportunistas e industriales
Enterobacterales;Gammaproteobacteria;Orden;Bacilos Gram negativos anaerobios facultativos, comunes en el tracto digestivo animal
Pseudomonadales;Gammaproteobacteria;Orden;Bacterias Gram negativas aerobias estrictas con gran versatilidad metabólica ambiental
Pasteurellales;Gammaproteobacteria;Orden;Bacterias Gram negativas comensales o patógenas de mamíferos y aves
Lysobacterales;Gammaproteobacteria;Orden;Bacterias Gram negativas depredadoras o móviles por deslizamiento
Vibrionales;Gammaproteobacteria;Orden;Bacterias Gram negativas marinas, comúnmente flageladas y con forma de coma
Campylobacterales;Epsilonproteobacteria;Orden;Bacterias Gram negativas helicoidales o curvas que habitan ambientes microaerófilos
Chlamydiales;Chlamydiia;Orden;Bacterias parásitas intracelulares obligadas causantes de clamidiasis en diversos animales
Thermales;Deinococci;Orden;Bacterias hipertermófilas extremadamente resistentes al calor
Methanobacteriales;Methanobacteria;Orden;Arqueas metanógenas anaerobias estrictas que producen metano usando hidrógeno y dióxido de carbono
Thermococcales;Thermococci;Orden;Arqueas hipertermófilas marinas que habitan en fuentes hidrotermales y reducen azufre
Halobacteriales;Halobacteriales;Orden;Arqueas halófilas extremas adaptadas a vivir en ambientes de alta salinidad
Nanobdellales;Nanobdellia;Orden;Orden de arqueas parásitas ultrapequeñas pertenecientes a la línea filogenética DPANN
Microcaldales;Microcaldia;Orden;Arqueas hipertermófilas diminutas recientemente descritas en fuentes termales terrestres o marinas
Promethearchaeales;Promethearchaeales;Orden;Arqueas del supergrupo Asgard, fundamentales para estudiar la evolución del linaje eucariota
Nitrosopumilales;Nitrososphaeria;Orden;Arqueas marinas quimiolitótrofas que obtienen energía oxidando amoníaco a nitrito
Sulfolobales;Thermoprotei;Orden;Arqueas termoacidófilas extremas que oxidan azufre en fuentes termales terrestres ácidas
Desulfurococcales;Thermoprotei;Orden;Arqueas hipertermófilas anaerobias estrictas que dependen de compuestos azufrados para crecer
Lactobacillaceae;Lactobacillales;Familia;Bacterias Gram positivas que producen ácido láctico
Streptococcaceae;Lactobacillales;Familia;Cocos Gram positivos dispuestos en cadenas
Staphylococcaceae;Caryophanales;Familia;Cocos Gram positivos agrupados en racimos
Bacillaceae;Caryophanales;Familia;Bacterias Gram positivas aerobias o anaerobias facultativas capaces de formar endosporas
Clostridiaceae;Eubacteriales;Familia;Bacilos Gram positivos anaerobios estrictos que producen endosporas muy resistentes
Mycobacteriaceae;Mycobacteriales;Familia;Bacterias con paredes celulares gruesas y ricas en lípidos (ácidos micólicos)
Corynebacteriaceae;Mycobacteriales;Familia;Bacilos Gram positivos pleomórficos, frecuentemente en forma de maza o V
Nocardiaceae;Mycobacteriales;Familia;Bacterias Gram positivas aerobias que forman micelios rudimentarios que se fragmentan
Microbacteriaceae;Micrococcales;Familia;Pequeñas bacterias Gram positivas distribuidas ampliamente en ambientes terrestres y acuáticos
Streptomycetaceae;Kitasatosporales;Familia;Bacterias filamentosas del suelo célebres por producir la mayoría de antibióticos naturales
Bifidobacteriaceae;Bifidobacteriales;Familia;Bacterias anaerobias ramificadas, esenciales para la salud del tracto gastrointestinal animal
Actinomycetaceae;Actinomycetales;Familia;Bacterias Gram positivas filamentosas que habitan comúnmente en las mucosas animales
Propionibacteriaceae;Propionibacteriales;Familia;Bacterias anaerobias que fermentan azúcares produciendo ácido propiónico como metabolito principal
Microcystaceae;Chroococcales;Familia;Cianobacterias unicelulares o coloniales, conocidas por producir toxinas en agua dulce
Gomphosphaeriaceae;Chroococcales;Familia;Cianobacterias coloniales con células dispuestas radialmente sobre filamentos ramificados de mucílago
Coccochloraceae ;Chroococcales;Familia;Familia tradicional de cianobacterias unicelulares con envolturas gelatinosas o mucilaginosas conspicuas
Oscillatoriaceae;Oscillatoriales;Familia;Cianobacterias filamentosas móviles sin ramificaciones ni heterocistos diferenciados estructuralmente
Microcoleaceae;Oscillatoriales;Familia;Cianobacterias filamentosas que suelen agrupar múltiples tricomas dentro de una vaina común
Nostocaceae;Nostocales;Familia;Cianobacterias filamentosas con heterocistos y acinetos, capaces de formar colonias gelatinosas
Aphanizomenaceae;Nostocales;Familia;Cianobacterias filamentosas flotantes que forman agregados paralelos macroscópicos en el agua
Calotrichaceae;Nostocales;Familia;Cianobacterias filamentosas con tricomas atenuados que presentan un heterocisto basal característico
Scytonemataceae;Nostocales;Familia;Cianobacterias filamentosas caracterizadas por presentar falsas ramificaciones simples o dobles
Stigonemataceae;Nostocales;Familia;Cianobacterias filamentosas complejas que exhiben ramificaciones verdaderas y crecimiento multiseriado
Rivulariaceae;Nostocales;Familia;Cianobacterias filamentosas con tricomas aguzados basalmente y organizadas en colonias hemisféricas
Rhizobiaceae;Hyphomicrobiales;Familia;Bacterias Gram negativas asociadas a plantas, capaces de fijar nitrógeno en nódulos radiculares
Acetobacteraceae;Rhodospirillales;Familia;Bacterias Gram negativas capaces de oxidar etanol para producir ácido acético
Neisseriaceae;Neisseriales;Familia;Bacterias Gram negativas diplocócicas que colonizan las superficies mucosas de animales endotermos
Burkholderiaceae;Burkholderiales;Familia;Bacterias Gram negativas metabólicamente versátiles, de gran importancia médica, agrícola y ambiental
Yersiniaceae;Enterobacterales;Familia;Bacilos Gram negativos que incluye al agente causal de la peste bubónica
Enterobacteriaceae;Enterobacterales;Familia;Bacilos Gram negativos anaerobios facultativos que habitan comúnmente el intestino animal
Morganellaceae;Enterobacterales;Familia;Bacterias Gram negativas patógenas oportunistas
Erwiniaceae;Enterobacterales;Familia;Bacterias Gram negativas asociadas a plantas
Pectobacteriaceae;Enterobacterales;Familia;Bacterias fitopatógenas que degradan la pectina vegetal, causando pudrición blanda en cultivos
Pseudomonadaceae;Pseudomonadales;Familia;Bacterias Gram negativas aerobias con flagelos polares y una versatilidad metabólica extraordinaria
Moraxellaceae;Pseudomonadales;Familia;Bacterias Gram negativas cocobacilares que habitan de forma comensal en mucosas de mamíferos
Pasteurellaceae;Pasteurellales;Familia;Bacterias Gram negativas exigentes, parásitas comunes del tracto respiratorio de vertebrados
Lysobacteraceae;Lysobacterales;Familia;Bacterias Gram negativas con motilidad por deslizamiento, depredadoras o fitopatógenas
Vibrionaceae;Vibrionales;Familia;Bacterias Gram negativas marinas, móviles mediante flagelos polares, comúnmente de forma curvada
Campylobacteraceae;Campylobacterales;Familia;Bacterias espirales o curvas que requieren condiciones microaerófilas para su crecimiento
Helicobacteraceae;Campylobacterales;Familia;Bacterias helicoidales Gram negativas adaptadas a vivir en las mucosas estomacales e intestinales
Chlamydiaceae;Chlamydiales;Familia;Bacterias esféricas parásitas intracelulares obligadas con un ciclo de vida dimórfico único
Thermaceae;Thermales;Familia;Bacterias quimioorganótrofas hipertermófilas que habitan en fuentes termales naturales o artificiales
Methanobacteriaceae;Methanobacteriales;Familia;Arqueas metanógenas anaerobias que producen metano reduciendo dióxido de carbono con hidrógeno
Methanothermaceae;Methanobacteriales;Familia;Arqueas hipertermófilas metanógenas extremas aisladas principalmente de fuentes hidrotermales profundas
Thermococcaceae;Thermococcales;Familia;Arqueas hipertermófilas anaerobias obligadas que dependen de la reducción de azufre elemental
Halobacteriaceae;Halobacteriales;Familia;Arqueas halófilas extremas que requieren altas concentciones de cloruro de sodio para sobrevivir
Nanobdellaceae;Nanobdellales;Familia;Arqueas parásitas ultrapequeñas de la línea filogenética DPANN
Microcaldaceae;Microcaldales;Familia;Arqueas hipertermófilas diminutas adaptadas a vivir en ambientes termales de alta temperatura
Promethearchaeaceae;Promethearchaeales;Familia;Arqueas anaerobias del supergrupo Asgard, cruciales para descifrar el origen del linaje eucariota
Nitrosopumilaceae;Nitrosopumilales;Familia;Arqueas marinas que obtienen energía oxidando amoníaco quimiolitotróficamente
Sulfolobaceae;Sulfolobales;Familia;Arqueas termoacidófilas capaces de oxidar azufre en fuentes termales continentales ácidas
Desulfurococcaceae;Desulfurococcales;Familia;Arqueas hipertermófilas óptimas a temperaturas elevadas que utilizan respiración anaeróbica dependiente de azufre
Lactobacillus;Lactobacillaceae;Género;Bacilos Gram positivos productores de ácido láctico, esenciales en la fermentación láctea
Streptococcus;Streptococcaceae;Género;Bacilos Gram positivos productores de ácido láctico, esenciales en la fermentación láctea
Lactococcus;Streptococcaceae;Género;Cocos Gram positivos fermentadores, ampliamente utilizados en la industria quesera mundial
Staphylococcus;Staphylococcaceae;Género;Cocos Gram positivos en racimos; S. aureus es un patógeno oportunista común
Bacillus;Bacillaceae;Género;Bacilos Gram positivos aerobios formadores de endosporas, comunes en el suelo
Clostridium;Clostridiaceae;Género;Bacilos Gram positivos anaerobios estrictos productores de potentes toxinas
Mycobacterium;Mycobacteriaceae;Género;Bacilos ácido-alcohol resistentes que causan enfermedades graves como la tuberculosis y lepra
Corynebacterium;Corynebacteriaceae;Género;Bacterias pleomórficas Gram positivas; C. diphtheriae es el agente de la difteria
